,road,km,type,model_type,name,length,condition,lat,lon,intersec_to
36,N1,28.315,PC Girder Bridge,bridge,BHATIR CHAR BRIDGE,163.5,A,23.5779800248475,90.6419193089939,
37,N1,29.138,PC Girder Bridge,bridge,ANAR PURA BRIDGE(L,29.0,A,23.5716306256965,90.6454159236842,
38,N1,29.842,Box Culvert,bridge,VITIKANDA - ANAR PUR CULVERT,34.7,A,23.5660033956521,90.6486237247282,
39,N1,30.908,PC Girder Bridge,bridge,ALIPURA BRIDGE (L,26.3,B,23.5591910296296,90.6557475703703,
40,N1,32.777,Box Culvert,bridge,PURRANBUICHE BOX CULVERT,9.1,A,23.5477377446428,90.6690554098214,
41,N1,32.796,Box Culvert,bridge,NOYAPARA,5.2,A,23.5476246437499,90.669192065625,
42,N1,34.111,Box Culvert,bridge,BOCTAR KANDI BOX CULVERT,5.1,C,23.5393910168,90.6784577888,
43,N1,35.181,Box Culvert,bridge,.,9.5,A,23.5327751898617,90.6858701078341,
44,N1,35.408,PC Girder Bridge,bridge,BORAKANDI BRIDGE(L,24.5,B,23.5313996605222,90.68744892596,
45,N1,35.408,RCC Girder Bridge,bridge,CHAR BOWSHIA BRIDGE(R,24.5,B,23.5313996605222,90.68744892596,
46,N1,35.707,Box Culvert,bridge,CHAR BOUSHEA (2,8.4,A,23.5301519626506,90.6897951837349,
47,N1,37.01,PC Box,bridge,Daud Kandi Bridge,1408.8,C,23.5303844733,90.7024402743,
48,N1,39.304,RCC Girder Bridge,bridge,Baldhakhal Bridge,23.1,C,23.5324186,90.7242807234,
49,N1,39.86,Box Culvert,bridge,MAIS PARA BOX CULVERT,6.0,B,23.5317587831999,90.7291780095,
50,N1,42.936,RCC Girder Bridge,bridge,Shahid Nagor Bridge,16.5,C,23.5298050611,90.75825325,
51,N1,45.164,Box Culvert,bridge,SARKAR BARI CULVERT,3.9,C,23.5307655282208,90.7800797251533,
52,N1,46.871,Slab Culvert,bridge,AMIRABATH SLAB CULVERT,6.5,C,23.5308683409424,90.7918075171727,
53,N1,48.384,RCC Bridge,bridge,Ginlatoly,15.9,C,23.5318234765,90.8110155135,
54,N1,50.558,Box Culvert,bridge,RAIPUR BOX CULVERT,12.2,A,23.5329743291,90.8309774761999,
55,N1,52.313,Box Culvert,bridge,AITAL BANGA BOX CULVERT,4.5,C,23.5229166652,90.8442186132,
56,N1,56.006,RCC Girder Bridge,bridge,Illiot bazar Bridge,28.9,C,23.510087758207,90.8757204035353,
57,N1,58.838,Box Culvert,bridge,KHAT GHOR BOX CULVERT,5.9,B,23.5060024341,90.9021745389,
58,N1,60.83,Box Culvert,bridge,BAKRA BOX CULVERT,3.0,B,23.5056131416,90.9214660218,
