,index,road,km,type,name,length,condition,lat,lon,model_type
2192,2112,N5,183.572,Box Culvert,.,10.6,A,24.5612882761142,89.4942060268571,bridge
2193,2113,N5,184.265,Box Culvert,.,8.1,A,24.5649182497142,89.4887059828571,bridge
2194,2114,N5,184.903,Box Culvert,.,13.2,C,24.5680249959285,89.4834709793445,bridge
2195,2115,N5,185.73,RCC Girder Bridge,.,49.8,B,24.5707546573248,89.4762649146496,bridge
2196,2116,N5,187.018,Box Culvert,.,14.5,A,24.5746814333333,89.4652994,bridge
2197,2117,N5,191.718,Box Culvert,.,2.0,A,24.609542000204,89.4418405163265,bridge
2198,2118,N5,199.551,Box Culvert,.,8.0,A,24.6741618666666,89.414297235,bridge
2199,2119,N5,207.98,Box Culvert,.,3.55,A,24.7452424716981,89.3973303547169,bridge
2200,2120,N5,209.365,Box Culvert,.,4.0,A,24.757472116,89.3966428499999,bridge
2201,2121,N5,212.724,Box Culvert,.,18.55,A,24.7868036271999,89.390767848,bridge
2202,2122,N5,215.493,Slab Culvert,.,7.1,C,24.8098232355172,89.3816053765517,bridge
2203,2123,N5,217.362,Slab Culvert,.,7.1,C,24.8200924533333,89.3687580523232,bridge
2204,2124,N5,219.841,Slab Culvert,.,2.1,A,24.8333018719,89.3495483024,bridge
2205,2125,N5,220.927,Slab Culvert,.,2.1,C,24.8421373038461,89.3471163473372,bridge
2206,2126,N5,222.284,Slab Culvert,.,2.15,C,24.850785484,89.3489308,bridge
2207,2127,N5,222.96,Box Culvert,.,6.8,B,24.8601472738134,89.3509452440261,bridge
2208,2128,N5,224.686,Box Culvert,.,10.2,B,24.8756514731182,89.3520676058371,bridge
2209,2129,N5,224.864,Slab Culvert,.,2.6,C,24.8772312709677,89.3522650737327,bridge
2210,2130,N5,230.709,Box Culvert,.,1.9,A,24.9250893688235,89.3484776120588,bridge
2211,2131,N5,232.209,Box Culvert,.,4.5,A,24.9387132469696,89.3469636593939,bridge
2212,2132,N5,232.973,RCC Girder Bridge,Mohasthan Bridge,77.2,D,24.9454260374468,89.3476829134042,bridge
2213,2133,N5,233.863,Box Culvert,.,14.0,A,24.9525543543103,89.3513122476293,bridge
2214,2134,N5,234.568,Box Culvert,.,4.0,A,24.9575185890829,89.3554921244541,bridge
2215,2135,N5,234.764,Box Culvert,.,4.0,A,24.9589765198,89.3565524,bridge
2216,2136,N5,235.164,Box Culvert,.,5.1,A,24.9619875998,89.3586524,bridge
2217,2137,N5,235.518,Box Culvert,.,6.8,A,24.9646524056,89.3605109,bridge
2218,2138,N5,236.518,Box Culvert,.,8.0,A,24.9716151281081,89.3658067524324,bridge
2219,2139,N5,236.948,Box Culvert,.,8.0,A,24.9751356166,89.3675524756,bridge
2220,2140,N5,237.7,Box Culvert,.,6.75,A,24.9816218279999,89.3699982,bridge
2221,2141,N5,238.267,RCC Girder Bridge,Chowkirghat,12.1,B,24.9868352796,89.3705652,bridge
2222,2142,N5,239.179,Box Culvert,.,2.1,A,24.9949262190981,89.3717561547745,bridge
2223,2143,N5,241.989,Slab Culvert,.,7.0,A,25.0196352163291,89.3689302492405,bridge
2224,2144,N5,246.174,Box Culvert,.,3.4,A,25.0577701746938,89.3697302587755,bridge
2225,2145,N5,246.979,Box Culvert,.,16.5,B,25.0640379601351,89.3715581324324,bridge
2226,2146,N5,247.755,Box Culvert,.,1.9,A,25.070589774468,89.373766787234,bridge
2227,2147,N5,249.247,Box Culvert,.,5.1,A,25.0834522825,89.3789417280999,bridge
2228,2148,N5,250.185,Box Culvert,.,1.8,A,25.0916173275,89.3812554045,bridge
2229,2149,N5,252.369,Box Culvert,.,5.1,A,25.1072281585,89.3838172523,bridge
2230,2150,N5,256.022,Box Culvert,.,6.4,A,25.143164776,89.3880719048,bridge
2231,2151,N5,256.33,Box Culvert,.,6.0,A,25.14587687,89.388499686,bridge
2232,2152,N5,257.136,Box Culvert,.,2.15,A,25.1530584487603,89.3897223090909,bridge
2233,2153,N5,257.327,Box Culvert,.,8.0,A,25.1548452458677,89.3893715636363,bridge
2234,2154,N5,257.534,Box Culvert,.,9.9,A,25.156781722314,89.3889914363636,bridge
2235,2155,N5,258.224,RCC Girder Bridge,Katakhali Bridge,162.5,C,25.1628178496,89.3887476618,bridge
2236,2156,N5,258.828,Box Culvert,.,10.7,A,25.1681264218181,89.3888882225174,bridge
2237,2157,N5,259.61,RCC Girder Bridge,Taltola Bridge,40.73,A,25.1743202889733,89.3887175292775,bridge
2238,2158,N5,260.196,Box Culvert,.,6.0,A,25.1797477697674,89.3885575274418,bridge
2239,2159,N5,260.406,PC Girder Bridge,.,40.04,A,25.1819251767441,89.388571104186,bridge
2240,2160,N5,261.413,Box Culvert,.,9.95,A,25.1911075911842,89.3889159544736,bridge
2241,2161,N5,261.853,Box Culvert,.,10.5,A,25.1949818092091,89.3883424547129,bridge
2242,2162,N5,262.719,RCC Girder Bridge,Bupinath Bridge,42.2,D,25.202419590379,89.3859666206997,bridge
2243,2163,N5,263.173,Box Culvert,.,10.6,A,25.2057271356164,89.3833305840182,bridge
2244,2164,N5,264.474,Box Culvert,.,14.0,A,25.21503607375,89.3758542187499,bridge
2245,2165,N5,264.488,Box Culvert,.,4.05,A,25.215162463125,89.375808040625,bridge
2246,2166,N5,264.917,Box Culvert,.,4.05,A,25.2188974992746,89.3746997444559,bridge
2247,2167,N5,266.563,Box Culvert,.,5.1,A,25.2320509964406,89.367795829661,bridge
2248,2168,N5,267.28,Box Culvert,.,29.4,B,25.237865417,89.364916978,bridge
2249,2169,N5,268.235,Box Culvert,.,34.25,A,25.2461189647966,89.3632033664796,bridge
2250,2170,N5,269.419,Box Culvert,.,4.05,A,25.2566103310204,89.3617292232653,bridge
2251,2171,N5,269.946,Box Culvert,.,4.05,A,25.2613389935828,89.3606290871657,bridge
2252,2172,N5,272.891,Box Culvert,.,5.1,A,25.2865260238,89.3511180618,bridge
2253,2173,N5,274.796,Box Culvert,.,4.07,A,25.3024633798999,89.3446526294,bridge
2254,2174,N5,275.425,Box Culvert,.,3.6,A,25.307739998,89.342503588,bridge
2255,2175,N5,276.019,Box Culvert,.,4.07,B,25.3130289257861,89.3414378113207,bridge
2256,2176,N5,276.741,Box Culvert,.,16.45,C,25.3193813,89.3406941,bridge
2257,2177,N5,277.108,Box Culvert,.,11.9,B,25.3227591563492,89.3402895261904,bridge
2258,2178,N5,277.799,Box Culvert,.,4.07,A,25.328714,89.3405072181818,bridge
2259,2179,N5,278.05,Box Culvert,.,1.8,A,25.3307942723646,89.3412140874643,bridge
2260,2180,N5,278.689,Box Culvert,.,3.55,A,25.3366245682758,89.3424364565517,bridge
2261,2181,N5,279.699,Box Culvert,.,16.4,C,25.3457379033898,89.3422778813559,bridge
2262,2182,N5,283.513,Box Culvert,.,5.1,C,25.3766918643999,89.328475439,bridge
2263,2183,N5,284.166,Box Culvert,.,5.1,A,25.3825055687,89.3272669517,bridge
2264,2184,N5,284.616,Box Culvert,.,5.05,A,25.3864806222,89.3264423,bridge
2265,2185,N5,285.564,Box Culvert,.,5.18,A,25.3947492678,89.3250203,bridge
2266,2186,N5,286.331,Box Culvert,.,10.0,D,25.4014792196,89.3239692524,bridge
2267,2187,N5,286.647,Box Culvert,.,4.1,A,25.4042685087719,89.3235358789473,bridge
2268,2188,N5,288.627,Box Culvert,.,2.1,A,25.4190088093517,89.3147748519659,bridge
2269,2189,N5,288.818,Box Culvert,.,4.1,A,25.4204860248671,89.3138445540913,bridge
2270,2190,N5,294.634,Box Culvert,.,2.8,A,25.4691832851351,89.2949005608108,bridge
2271,2191,N5,296.032,Box Culvert,.,2.8,A,25.4816870881807,89.2930520455388,bridge
2272,2192,N5,297.156,Box Culvert,.,2.8,A,25.4916648783842,89.2915421008733,bridge
2273,2193,N5,299.593,Box Culvert,.,2.85,A,25.5131247,89.287878299,bridge
2274,2194,N5,302.22,Box Culvert,.,5.4,A,25.5367711785,89.2836473895,bridge
2275,2195,N5,303.755,Box Culvert,.,4.8,A,25.550331639,89.280939929,bridge
2276,2196,N5,306.256,Box Culvert,.,5.45,A,25.5719151052525,89.2748216384848,bridge
2277,2197,N5,307.543,Box Culvert,.,5.45,A,25.5832477106666,89.272871936,bridge
2278,2198,N5,308.799,Box Culvert,.,5.4,A,25.5944138935,89.2706480499999,bridge
2279,2199,N5,310.398,Box Culvert,.,6.0,A,25.6086953771739,89.2689920793478,bridge
2280,2200,N5,311.014,Box Culvert,.,2.8,A,25.6142387742489,89.2690728751073,bridge
2281,2201,N5,311.905,Box Culvert,.,6.0,A,25.6223743499999,89.2691799,bridge
2282,2202,N5,312.85,Box Culvert,.,3.8,A,25.6308493444444,89.2694054955555,bridge
2283,2203,N5,313.535,Box Culvert,.,5.4,A,25.6371733636363,89.270188990909,bridge
2284,2204,N5,315.419,Box Culvert,.,31.8,A,25.6538315803858,89.2727086787781,bridge
2285,2205,N5,316.19,Box Culvert,.,5.4,A,25.660778509424,89.2730706,bridge
2286,2206,N5,317.089,RCC Girder Bridge,.,60.73,C,25.6688297185595,89.2735153662049,bridge
2287,2207,N5,320.42,RCC Girder Bridge,.,26.4,A,25.6975637433673,89.265996357653,bridge
2288,2208,N5,320.952,Box Culvert,.,6.7,A,25.7020672427385,89.2641208911825,bridge
2289,2209,N5,322.194,Box Culvert,.,2.0,A,25.7106224665987,89.2578467181262,bridge
2290,2210,N5,322.592,Box Culvert,.,5.2,A,25.7121085224032,89.2538162183299,bridge
2291,2211,N5,323.458,Box Culvert,.,3.6,A,25.7159967495049,89.2467758297029,bridge
2292,2212,N5,324.774,Box Culvert,.,3.6,A,25.7262084962686,89.2405575592537,bridge
2293,2213,N5,325.578,Box Culvert,.,2.0,A,25.7328720411764,89.2374261352941,bridge
2294,2214,N5,325.98,Box Culvert,.,2.0,A,25.7360509249258,89.2359244234421,bridge
2295,2215,N5,326.596,Box Culvert,.,3.7,A,25.7411783914606,89.2336211462921,bridge
2296,2216,N5,327.562,Box Culvert,.,6.8,A,25.7494127239603,89.2310715231683,bridge
2297,2217,N5,330.454,Box Culvert,.,10.8,A,25.7735757444444,89.2251481572222,bridge
2298,2218,N5,332.184,Box Culvert,.,14.45,A,25.7846190407,89.2133103106,bridge
2299,2219,N5,334.202,Box Culvert,.,7.4,A,25.7956673780904,89.1973495910552,bridge
2300,2220,N5,334.422,RCC Girder Bridge,Ghagot Bridge.,60.1,A,25.7968097419095,89.1955499689447,bridge
2301,2221,N5,336.053,Box Culvert,.,4.5,A,25.802745263615,89.1810180488262,bridge
2302,2222,N5,337.025,Box Culvert,.,6.6,A,25.8052214805755,89.1718636307913,bridge
2303,2223,N5,339.497,Box Culvert,.,3.6,A,25.810892283146,89.1480852078651,bridge
2304,2224,N5,340.442,Box Culvert,.,6.6,A,25.811602757653,89.1386550234693,bridge
2305,2225,N5,340.859,Box Culvert,.,10.35,A,25.8116389,89.1345519085714,bridge
2306,2226,N5,342.005,RCC Girder Bridge,.,51.61,A,25.8116111,89.1229738157894,bridge
2307,2227,N5,342.366,RCC Girder Bridge,.,26.0,A,25.8116242253869,89.1194276993808,bridge
2308,2228,N5,343.389,Box Culvert,.,6.6,A,25.8116261173633,89.1092211768488,bridge
2309,2229,N5,343.683,RCC Girder Bridge,.,6.5,A,25.8116111,89.1063015016393,bridge
2310,2230,N5,344.802,Box Culvert,.,6.6,A,25.8115556,89.0950845654321,bridge
2311,2231,N5,347.626,Box Culvert,.,6.6,A,25.8114755916,89.0667749615,bridge
2312,2232,N5,348.448,RCC Girder Bridge,Barati Bridge,134.45,A,25.8114088087,89.0585777797,bridge
2313,2233,N5,351.746,RCC Girder Bridge,.,70.78,A,25.8112222,89.02564901497,bridge
2314,2234,N5,354.204,RCC Girder Bridge,.,21.0,C,25.8110826226814,89.0011081738911,bridge
2315,2235,N5,356.854,Box Culvert,.,10.3,A,25.8078998272277,88.9754364311881,bridge
2316,2236,N5,357.018,Box Culvert,.,18.4,C,25.8071195282178,88.9740652450495,bridge
2317,2237,N5,358.013,RCC Girder Bridge,Chikly Bridge.,49.4,C,25.802430048169,88.9657678033802,bridge
2318,2238,N5,359.217,Box Culvert,.,9.8,B,25.796362972,88.9556499919999,bridge
2319,2239,N5,359.384,Box Culvert,.,5.1,A,25.7955769640661,88.954215865721,bridge
2320,2240,N5,360.237,Box Culvert,.,7.0,B,25.791414250894,88.9472097316368,bridge
2321,2241,N5,361.189,Box Culvert,.,10.4,C,25.786787316129,88.9391537516129,bridge
2322,2242,N5,362.057,Box Culvert,.,6.75,A,25.7837120521739,88.9312036260869,bridge
2323,2243,N5,365.388,Box Culvert,.,3.33,A,25.7933110735999,88.9080074677,bridge
2324,2244,N5,365.824,Box Culvert,.,2.7,A,25.7967143152,88.9055731489,bridge
2325,2245,N5,366.069,Box Culvert,.,10.63,A,25.7984798630911,88.9041459246828,bridge
2326,2246,N5,366.358,Box Culvert,.,3.5,A,25.8005355297577,88.9024514913494,bridge
2327,2247,N5,367.3,Box Culvert,.,2.75,A,25.8064438676923,88.8960562471794,bridge
2328,2248,N5,367.688,Box Culvert,.,7.1,A,25.8070359847715,88.8924369799492,bridge
2329,2249,N5,369.9,Box Culvert,.,10.75,A,25.7957668050119,88.8794477775656,bridge
2330,2250,N5,370.896,RCC Girder Bridge,Khorkhori Bridge,60.1,A,25.7869033895145,88.8790684926213,bridge
2331,2251,N5,371.751,Box Culvert,.,3.5,A,25.7794615408057,88.878429270971,bridge
2332,2252,N5,373.732,PC Girder Bridge,.,12.25,A,25.7708219461538,88.8640807384615,bridge
2333,2253,N5,373.836,RCC Girder Bridge,.,12.25,A,25.7706830561538,88.8630780284615,bridge
2334,2254,N5,374.067,Slab Culvert,.,1.65,C,25.7703745600961,88.8608508552884,bridge
2335,2255,N5,374.354,Slab Culvert,.,1.65,C,25.7699912771153,88.8580837613461,bridge
2336,2256,N5,375.421,RCC Girder Bridge,Gaudangi Bridge,53.65,C,25.7685551334905,88.8475447797169,bridge
2337,2257,N5,376.191,Slab Culvert,.,1.7,C,25.767141565942,88.8402065631884,bridge
2338,2258,N5,376.693,Box Culvert,.,3.5,A,25.7665556,88.8351919887362,bridge
2339,2259,N5,377.635,Box Culvert,.,19.52,A,25.767218995679,88.8259768777777,bridge
2340,2260,N5,378.46,Box Culvert,.,6.5,A,25.7683481133333,88.8176624655555,bridge
2341,2261,N5,378.716,Box Culvert,.,3.05,A,25.7686952886666,88.8151689936666,bridge
2342,2262,N5,378.842,Slab Culvert,.,5.1,A,25.7688586266666,88.8139441266666,bridge
2343,2263,N5,379.45,RCC Girder Bridge,Ichamoti Bridge,55.1,D,25.7697399979057,88.8078095267015,bridge
2344,2264,N5,379.711,Box Culvert,.,6.7,A,25.7702303245454,88.8053612579545,bridge
2345,2265,N5,380.143,Slab Culvert,.,3.65,A,25.7712961457142,88.8013667771428,bridge
2346,2266,N5,381.488,Slab Culvert,.,3.55,B,25.7739965244604,88.7883313942446,bridge
2347,2267,N5,381.84,Box Culvert,.,9.9,A,25.7743460716666,88.7848524333333,bridge
2348,2268,N5,382.302,Box Culvert,.,13.08,A,25.7740734,88.7803142333333,bridge
2349,2269,N5,382.615,Slab Culvert,.,1.7,A,25.7737694155597,88.7773046512334,bridge
2350,2270,N5,382.689,Slab Culvert,.,1.7,C,25.7736641024667,88.776625971537,bridge
2351,2271,N5,383.144,Arch Masonry,.,2.7,C,25.7731213990825,88.7722921467889,bridge
2352,2272,N5,383.605,Box Culvert,.,3.5,A,25.7734572057636,88.7674624037464,bridge
2353,2273,N5,383.925,Box Culvert,.,3.5,A,25.77378826,88.76478054,bridge
2354,2274,N5,384.932,RCC Girder Bridge,.,54.39,A,25.7735652128035,88.7546274885209,bridge
2355,2275,N5,385.615,Box Culvert,.,3.5,A,25.7734413552127,88.7479034720212,bridge
2356,2276,N5,385.951,RCC Girder Bridge,Atrai Bridge.,246.85,C,25.7730740071276,88.7450041852127,bridge
2357,2277,N5,387.761,Steel Beam & RCC Slab,.,9.79,C,25.770038742,88.7311856,bridge
2358,2278,N5,388.825,Box Culvert,.,10.1,A,25.7619433359999,88.726205472,bridge
2359,2279,N5,389.743,PC Girder Bridge,Gabura Bridge,77.34,C,25.7562194948314,88.7189732594382,bridge
2360,2280,N5,391.313,Steel Beam & RCC Slab,.,9.2,D,25.7527562779661,88.7041152242937,bridge
2361,2281,N5,392.186,Box Culvert,.,6.72,A,25.753455972,88.6961048752,bridge
2362,2282,N5,395.396,Arch Masonry,.,3.2,A,25.7651823454,88.6737216,bridge
2363,2283,N5,396.343,Box Culvert,.,25.43,A,25.7728419163157,88.6724879229473,bridge
2364,2284,N5,397.521,Box Culvert,.,6.5,A,25.7839399393835,88.6749266325342,bridge
2365,2285,N5,399.365,RCC Girder Bridge,Dipa Bridge,93.21,B,25.7991268873913,88.6772818452174,bridge
2366,2286,N5,399.816,Box Culvert,.,4.5,A,25.8032380882,88.6767778706,bridge
2367,2287,N5,402.282,Box Culvert,.,3.25,A,25.8198537462365,88.6657041204301,bridge
2368,2288,N5,406.209,Slab Culvert,.,7.05,C,25.8527107912765,88.6553144603191,bridge
2369,2289,N5,410.976,Box Culvert,.,3.4,A,25.8849868452,88.6279185552,bridge
2370,2290,N5,412.847,Box Culvert,.,2.35,A,25.896190197856,88.6142872957121,bridge
2371,2291,N5,414.004,Box Culvert,.,4.5,A,25.9021897347058,88.6053721999999,bridge
2372,2292,N5,414.501,Box Culvert,.,3.43,A,25.9043013512745,88.6012305333333,bridge
2373,2293,N5,414.812,Box Culvert,.,11.1,A,25.9048464352941,88.5981864568627,bridge
2374,2294,N5,416.345,RCC Girder Bridge,.,41.08,A,25.9081123872047,88.5835863350393,bridge
2375,2295,N5,418.135,Box Culvert,.,2.32,A,25.9108870533156,88.5663212342175,bridge
2376,2296,N5,419.473,Box Culvert,.,9.82,A,25.9149102,88.5568997994,bridge
2377,2297,N5,421.471,Slab Culvert,.,6.6,A,25.9312439481561,88.5506315201735,bridge
2378,2298,N5,422.506,Box Culvert,.,4.47,A,25.9394679401,88.5457826911999,bridge
2379,2299,N5,424.072,Slab Culvert,.,6.55,A,25.9511429975,88.53776313,bridge
2380,2300,N5,425.597,Slab Culvert,.,3.6,A,25.961259998,88.52735819,bridge
2381,2301,N5,426.161,Box Culvert,.,2.87,A,25.9646749616,88.523378888,bridge
2382,2302,N5,426.863,Box Culvert,.,4.45,A,25.9692593492,88.5187438732,bridge
2383,2303,N5,430.036,Box Culvert,.,3.5,B,25.9909807355555,88.4985320302777,bridge
2384,2304,N5,431.16,Box Culvert,.,2.35,C,25.9986437913,88.4925648,bridge
2385,2305,N5,432.443,RCC Girder Bridge,.,37.87,C,26.0074489955555,88.4846124881481,bridge
2386,2306,N5,433.706,Slab Culvert,.,3.95,A,26.0151708995,88.4750755782,bridge
2387,2307,N5,434.429,Box Culvert,.,1.87,A,26.018504291,88.4705769276,bridge
2388,2308,N5,435.617,Box Culvert,.,1.87,A,26.0257640779411,88.4754793573529,bridge
2389,2309,N5,437.19,Slab Culvert,.,2.2,A,26.0358779843,88.4867452511,bridge
2390,2310,N5,438.031,Box Culvert,.,2.35,A,26.0405857752475,88.4931858831683,bridge
2391,2311,N5,440.291,Box Culvert,.,3.45,A,26.0560468526717,88.50706727465641,bridge
2392,2312,N5,440.427,Box Culvert,.,3.38,A,26.0571047871428,88.5076975857142,bridge
2393,2313,N5,440.44,Box Culvert,.,17.4,A,26.057210024,88.5077533,bridge
2394,2314,N5,442.887,Box Culvert,.,3.95,A,26.0782924421348,88.5142692702247,bridge
2395,2315,N5,443.053,Slab Culvert,.,2.68,B,26.0797328185393,88.5148494308988,bridge
2396,2316,N5,443.806,Box Culvert,.,4.5,A,26.0861808388235,88.51756701,bridge
2397,2317,N5,444.372,Box Culvert,.,3.35,A,26.0906663333333,88.5199715666666,bridge
2398,2318,N5,444.544,Box Culvert,.,29.4,A,26.0920294164705,88.52070228,bridge
2399,2319,N5,445.739,Box Culvert,.,2.35,A,26.1017667757763,88.5259167012422,bridge
2400,2320,N5,446.179,RCC Girder Bridge,.,64.36,A,26.1052081587991,88.527738647412,bridge
2401,2321,N5,446.605,Box Culvert,.,3.38,A,26.1087910703984,88.5291880081594,bridge
2402,2322,N5,448.198,Box Culvert,.,4.45,A,26.1225996734693,88.533424907483,bridge
2403,2323,N5,449.332,Box Culvert,.,39.15,A,26.132565085,88.53611494375,bridge
2404,2324,N5,449.467,Box Culvert,.,1.85,A,26.1337792074999,88.536358703125,bridge
2405,2325,N5,450.79,Box Culvert,.,5.8,A,26.1452532652,88.5374152432,bridge
2406,2326,N5,450.807,Box Culvert,.,32.75,A,26.1454072155,88.537448298,bridge
2407,2327,N5,451.259,Box Culvert,.,4.5,A,26.1495004823,88.5383271668,bridge
2408,2328,N5,451.871,Box Culvert,.,2.35,A,26.1548157969999,88.539476321,bridge
2409,2329,N5,453.198,Box Culvert,.,2.35,A,26.1662970657534,88.5422314260273,bridge
2410,2330,N5,454.112,Box Culvert,.,3.95,A,26.1740011377049,88.5448197721311,bridge
2411,2331,N5,454.302,Steel Beam & RCC Slab,.,31.52,C,26.1756536704918,88.5453735131147,bridge
2412,2332,N5,455.276,Box Culvert,.,3.4,A,26.1840166785263,88.5481625797894,bridge
2413,2333,N5,455.619,Box Culvert,.,2.83,A,26.1869453208421,88.5491454372631,bridge
2414,2334,N5,456.939,Box Culvert,.,2.35,A,26.1976280706285,88.5540841889142,bridge
2415,2335,N5,457.969,Box Culvert,.,4.45,A,26.2063434127027,88.5544794881081,bridge
2416,2336,N5,458.735,Box Culvert,.,2.33,A,26.2131352243333,88.5550021205,bridge
2417,2337,N5,459.138,Box Culvert,.,2.47,A,26.2166691271739,88.555368048913,bridge
2418,2338,N5,462.211,Box Culvert,.,4.87,A,26.2439084124271,88.5588238007767,bridge
2419,2339,N5,463.44,Box Culvert,.,12.5,A,26.2547785272,88.5581247048,bridge
2420,2340,N5,464.482,Slab Culvert,.,3.5,A,26.264054586,88.5572642,bridge
2421,2341,N5,465.132,Box Culvert,.,4.45,A,26.2697240582809,88.5576147576519,bridge
2422,2342,N5,465.925,Box Culvert,.,1.85,A,26.2767858282467,88.5590725902597,bridge
2423,2343,N5,467.956,Box Culvert,.,1.95,A,26.2946322898734,88.5581987341772,bridge
2424,2344,N5,468.15,Box Culvert,.,3.5,A,26.2964059164556,88.558014556962,bridge
2425,2345,N5,468.971,Box Culvert,.,5.0,A,26.3036306304,88.5568803,bridge
2426,2346,N5,469.334,PC Girder Bridge,Korotoa Bridge,254.76,A,26.3068270632,88.5559728,bridge
2427,2347,N5,470.985,Slab Culvert,.,1.95,A,26.3212403216216,88.5535728,bridge
2428,2348,N5,474.673,Box Culvert,.,3.47,A,26.3490111067484,88.5585896515337,bridge
2429,2349,N5,475.182,Arch Masonry,.,3.75,A,26.353473164,88.559731104,bridge
2430,2350,N5,475.95,Box Culvert,.,3.5,A,26.3602492104,88.5613430736,bridge
2431,2351,N5,478.069,Box Culvert,.,3.45,A,26.3790041409836,88.5629929254098,bridge
2432,2352,N5,479.036,Slab Culvert,.,3.53,A,26.3877990648769,88.5628330926174,bridge
2433,2353,N5,480.389,Slab Culvert,.,3.0,A,26.399612589,88.5607701422,bridge
2434,2354,N5,480.819,Arch Masonry,.,6.85,A,26.4034265209009,88.5599275076576,bridge
2435,2355,N5,481.886,Box Culvert,.,4.03,A,26.4124774115942,88.5589319956521,bridge
2436,2356,N5,483.866,RCC Girder Bridge,Chawai Bridge,48.71,B,26.4290695332642,88.565096658031,bridge
2437,2357,N5,486.654,Box Culvert,.,6.8,A,26.451613030297,88.5619753390099,bridge
2438,2358,N5,487.66,Box Culvert,.,3.5,A,26.4573618480369,88.5563835351039,bridge
2439,2359,N5,488.701,Box Culvert,.,3.4,A,26.4634465137999,88.5487219139,bridge
2440,2360,N5,488.706,Box Culvert,.,5.02,A,26.4634751248,88.5486828844,bridge
2441,2361,N5,489.18,Box Culvert,.,3.5,A,26.466112586266,88.5450352429184,bridge
2442,2362,N5,489.568,Box Culvert,.,3.5,A,26.468251665236,88.5420632961373,bridge
2443,2363,N5,490.429,Box Culvert,.,3.05,A,26.4730916019628,88.5352591866735,bridge
2444,2364,N5,490.766,Box Culvert,.,3.47,A,26.4749782217391,88.5326189,bridge
2445,2365,N5,490.895,Box Culvert,.,2.97,A,26.4756955583333,88.5315966645833,bridge
2446,2366,N5,491.559,Box Culvert,.,3.44,A,26.4791538916666,88.5262362479166,bridge
2447,2367,N5,492.827,RCC Girder Bridge,Bhajanpur Bridge,134.7,B,26.4790359028169,88.5142156049295,bridge
2448,2368,N5,494.263,Box Culvert,.,3.5,A,26.4753208596439,88.5004886848664,bridge
2449,2369,N5,495.605,RCC Girder Bridge,.,31.33,A,26.4687439403174,88.489487695873,bridge
2450,2370,N5,496.627,Box Culvert,.,3.45,A,26.4702664763636,88.4806585054545,bridge
2451,2371,N5,497.3,Box Culvert,.,1.7,A,26.4708542150501,88.4741238897993,bridge
2452,2372,N5,498.161,RCC Girder Bridge,.,65.46,B,26.4714067666666,88.4654347666666,bridge
2453,2373,N5,499.949,Box Culvert,.,3.0,A,26.4754408043887,88.4485519103448,bridge
2454,2374,N5,500.993,Box Culvert,.,4.45,C,26.4770042312741,88.4386599729729,bridge
2455,2375,N5,501.198,Box Culvert,.,3.53,A,26.4779606472972,88.437000027027,bridge
2456,2376,N5,501.715,Box Culvert,.,6.7,A,26.4801300937172,88.4327491942408,bridge
2457,2377,N5,502.702,Box Culvert,.,4.62,A,26.4828911340816,88.4233384472448,bridge
2458,2378,N5,503.988,Box Culvert,.,3.4,A,26.4855941873994,88.4108194254691,bridge
2459,2379,N5,505.489,PC Girder Bridge,.,25.0,A,26.488138214,88.3961711273333,bridge
2460,2380,N5,507.097,PC Girder Bridge,.,25.0,A,26.4887293234449,88.3800721349282,bridge
2461,2381,N5,508.047,Box Culvert,.,1.75,A,26.4900653064327,88.3715704994152,bridge
2462,2382,N5,511.814,Slab Culvert,.,3.67,A,26.5170072385,88.35588992625,bridge
2463,2383,N5,512.693,PC Girder Bridge,.,42.95,A,26.5237552438202,88.3598863921348,bridge
2464,2384,N5,512.736,RCC Girder Bridge,Amla Bridge,123.0,B,26.524096127528,88.3600823368539,bridge
2465,2385,N5,516.568,Slab Culvert,.,3.65,A,26.555150142,88.377065723,bridge
2466,2386,N5,517.048,RCC Girder Bridge,.,42.75,B,26.5589248212389,88.3791188137168,bridge
2467,2387,N5,520.948,Box Culvert,.,3.5,A,26.5906392227488,88.3963136545023,bridge
2468,2388,N5,522.718,Slab Culvert,.,6.53,A,26.6051453552828,88.4040994790821,bridge
2469,5899,N5,526.033,sourcesink,sourcesink,0.0,,26.6332216,88.4148333,sourcesink
2470,40,N501,0.0,sourcesink,sourcesink,0.0,,23.7985552,90.3434163,sourcesink
2471,2389,N501,5.886,Box Culvert,VARIBAD BOX CULVERT,16.35,A,23.844899293,90.3409732355,bridge
2472,2390,N501,6.901,Box Culvert,Dhour sluicegate -2,5.2,A,23.8530882147058,90.3425952705882,bridge
2473,5915,N501,11.942,sourcesink,sourcesink,0.0,,23.8922497,90.3618056,sourcesink
2474,41,N502,0.0,sourcesink,sourcesink,0.0,,24.821916,89.36275,sourcesink
2475,2391,N502,0.441,Slab Culvert,.,4.15,B,24.8200651679545,89.359319318409,bridge
2476,2392,N502,1.534,Slab Culvert,.,4.2,A,24.8105260709497,89.3565890418994,bridge
2477,2393,N502,2.517,Slab Culvert,.,7.25,A,24.8018806714022,89.3555042341328,bridge
2478,2394,N502,3.512,Slab Culvert,.,8.65,A,24.7930353402298,89.3534848444444,bridge
2479,2395,N502,5.905,Slab Culvert,.,4.2,A,24.7720054563169,89.3487240981798,bridge
