road,km,type,model_type,name,length,condition,lat,lon,intersec_to,id
N2,208.023,Box Culvert,bridge,MOHAMMAD PUR CULVERT,2.0,A,24.74391392,91.7769755514285,,2367
N2,208.5575,link,link,link,1067.0,,24.7482685289189,91.7792235649034,,2368
N2,209.092,Box Culvert,bridge,DAYA MIR BOX CULVERT,1.5,A,24.7526231378378,91.7814715783783,,2369
N2,209.57600000000002,link,link,link,966.0,,24.75678774681205,91.78266392791315,,2370
N2,210.06,Box Culvert,bridge,DAYAMIR BOX CULVERT,2.0,A,24.7609523557863,91.783856277448,,2371
N2,210.378,link,link,link,634.0,,24.763821335326753,91.78353022288326,,2372
N2,210.696,Box Culvert,bridge,SONARGOUR BOX CULVERT,1.5,A,24.7666903148672,91.7832041683185,,2373
N2,210.83100000000002,link,link,link,266.0,,24.76788855968075,91.78306339517044,,2374
N2,210.966,Box Culvert,bridge,SOWEAGOAN BOX CULVERT,7.1,A,24.7690868044943,91.7829226220224,,2375
N2,211.5115,link,link,link,1086.0,,24.773956832910102,91.7834143347681,,2376
N2,212.057,Box Culvert,bridge,FURRA BAZAR CULVERT,2.0,A,24.7788268613259,91.7839060475138,,2377
N2,212.418,link,link,link,720.0,,24.78191882399625,91.78452786375689,,2378
N2,212.779,Box Culvert,bridge,KURRA BAZR BOX CULVERT,2.0,A,24.7850107866666,91.78514968,,2379
N2,213.06099999999998,link,link,link,562.0,,24.7871548513978,91.7865016496774,,2380
N2,213.343,Box Culvert,bridge,KURRZ BAZAR BOX CULVERT,2.0,A,24.789298916129,91.7878536193548,,2381
N2,213.50549999999998,link,link,link,323.0,,24.7905474648606,91.78849434365796,,2382
N2,213.668,Box Culvert,bridge,AHAMAD NAGAR CULVERT,2.0,A,24.7917960135922,91.7891350679611,,2383
N2,213.9235,link,link,link,504.0,,24.794077348700853,91.7893450015996,,2384
N2,214.179,Box Culvert,bridge,NAZIR BAZAR,12.4,C,24.7963586838095,91.7895549352381,,2385
N2,214.702,link,link,link,1039.0,,24.80098758055205,91.7901275258316,,2386
N2,215.225,Box Culvert,bridge,KUTUB PUR BOX CULVERT,2.5,A,24.8056164772946,91.7907001164251,,2387
N2,215.3555,link,link,link,258.0,,24.806660922813947,91.79100334154586,,2388
N2,215.486,Box Culvert,bridge,ROSID PUR,2.5,A,24.8077053683333,91.7913065666666,,2389
N2,215.75900000000001,link,link,link,535.0,,24.80975548416665,91.79186143333331,,2390
N2,216.032,Box Culvert,bridge,ROSID PUR BOX CULVERT,18.6,A,24.8118056,91.7924163,,2391
N2,217.3465,link,link,link,2618.0,,24.819279406905352,91.80272502052429,,2392
N2,218.661,Box Culvert,bridge,LALA BAZAR START,2.5,A,24.8267532138107,91.8130337410486,,2393
N2,219.3295,link,link,link,1330.0,,24.83151910690535,91.8166781659788,,2394
N2,219.998,RCC Girder Bridge,bridge,Lala Bazar Bridge,12.0,B,24.836285,91.820322590909,,2395
N2,220.237,link,link,link,471.0,,24.838330735603698,91.8210451431325,,2396
N2,220.476,Box Culvert,bridge,LALA BAZAR,2.0,A,24.8403764712074,91.821767695356,,2397
N2,220.9665,link,link,link,978.0,,24.8444380856037,91.823647397678,,2398
N2,221.457,Box Culvert,bridge,LALA BAZAR,3.0,B,24.8484997,91.8255271,,2399
N2,221.733,link,link,link,544.0,,24.8500112204301,91.8275467967742,,2400
N2,222.009,Box Culvert,bridge,LALA BAZAR,12.2,B,24.8515227408602,91.8295664935484,,2401
N2,222.608,link,link,link,1190.0,,24.8549287846406,91.83395778940576,,2402
N2,223.207,Box Culvert,bridge,KETLIL CULVERT,3.0,A,24.858334828421,91.8383490852631,,2403
N2,223.3595,link,link,link,302.0,,24.85876816693775,91.83973878172245,,2404
N2,223.512,Box Culvert,bridge,KETLI 2 CULVERT,3.0,A,24.8592015054545,91.8411284781818,,2405
N2,223.812,link,link,link,578.0,,24.860042432727248,91.8439029590909,,2406
N2,224.112,PC Girder Bridge,bridge,Teli Bazar Bridge,40.8,A,24.86088336,91.84667744,,2407
N2,224.4085,link,link,link,572.0,,24.862183770082602,91.84926844479335,,2408
N2,224.705,Box Culvert,bridge,BALIADIKONE CULVERT,2.0,A,24.8634841801652,91.8518594495867,,2409
N2,225.21,link,link,link,1008.0,,24.8657988333029,91.85591606674251,,2410
N2,225.715,Box Culvert,bridge,CHANDRIPUR,1.5,A,24.8681134864406,91.8599726838983,,2411
N2,225.78750000000002,link,link,link,144.0,,24.86825963660265,91.86064391400795,,2412
N2,225.86,Box Culvert,bridge,Daudpur,1.5,A,24.8684057867647,91.8613151441176,,2413
N2,225.9685,link,link,link,213.0,,24.8688348933823,91.86221556885874,,2414
N2,226.077,Box Culvert,bridge,FIRUS PUR 1,7.0,B,24.8692639999999,91.8631159935999,,2415
N2,226.452,link,link,link,746.0,,24.8716883110948,91.8655046873109,,2416
